artist,title,genre,url
Snail Mail,Valentine,Rock,https://pitchfork.com/reviews/albums/snail-mail-valentine/
Jlin,“Embryo”,Electronic,https://pitchfork.com/reviews/tracks/jlin-embryo/
John Coltrane,A Love Supreme: Live in Seattle,Jazz,https://pitchfork.com/reviews/albums/john-coltrane-a-love-supreme-live-in-seattle/
aya,im hole,Electronic,https://pitchfork.com/reviews/albums/aya-im-hole/
The War on Drugs,I Don’t Live Here Anymore,Rock,https://pitchfork.com/reviews/albums/the-war-on-drugs-i-dont-live-here-anymore/
Grouper,Shade,Experimental,https://pitchfork.com/reviews/albums/grouper-shade/
Xenia Rubinos,Una Rosa,Rock,https://pitchfork.com/reviews/albums/xenia-rubinos-una-rosa/
Wiki,Half God,Rap,https://pitchfork.com/reviews/albums/wiki-half-god/
Tirzah,Colourgrade,Experimental,https://pitchfork.com/reviews/albums/tirzah-colourgrade/
The War on Drugs,“I Don’t Live Here Anymore”,Rock,https://pitchfork.com/reviews/tracks/the-war-on-drugs-i-dont-live-here-anymore/
Snail Mail,“Valentine”,Rock,https://pitchfork.com/reviews/tracks/snail-mail-valentine/
Water From Your Eyes,““Quotations””,Rock,https://pitchfork.com/reviews/tracks/water-from-your-eyes-quotations/
Big Thief,“Little Things”,Rock,https://pitchfork.com/reviews/tracks/big-thief-little-things/
Indigo De Souza,“Hold U”,Rock,https://pitchfork.com/reviews/tracks/indigo-de-souza-hold-u/
Low,“Days Like These”,Rock,https://pitchfork.com/reviews/tracks/low-days-like-these/
The Beatles,Let It Be (Super Deluxe) ,Rock,https://pitchfork.com/reviews/albums/the-beatles-let-it-be-super-deluxe/
Pastor T. L. Barrett and the Youth for Christ Choir,I Shall Wear a Crown,,https://pitchfork.com/reviews/albums/pastor-t-l-barrett-and-the-youth-for-c-i-shall-wear-a-crown/
Trashcan Sinatras,I’ve Seen Everything,Rock,https://pitchfork.com/reviews/albums/trashcan-sinatras-ive-seen-everything/
Laura Nyro,American Dreamer,Rock,https://pitchfork.com/reviews/albums/laura-nyro-american-dreamer/
Alice Coltrane,Kirtan: Turiya Sings,JazzExperimental,https://pitchfork.com/reviews/albums/alice-coltrane-kirtan-turiya-sings/
“Blue” Gene Tyranny,Degrees of Freedom Found,Experimental,https://pitchfork.com/reviews/albums/blue-gene-tyranny-degrees-of-freedom-found/
